Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score,age_group,usage_level,addiction_risk_level,sleep_deficit_hours,academic_risk_flag,mental_health_risk_level,psycho_social_risk_index,estimated_social_media_exposure_years,global_addiction_trend_index_for_cohort,pandemic_exposure_phase,country_usage_bucket,country_youth_usage_intensity_index
80,18,Female,High School,Armenia,5.9,Instagram,Yes,5.2,5,Complicated,4,9,18-19,very_high,addicted,2.8,1,moderate,0.75,5.4,1.0,pandemic_cohort,medium,0.46111111111111114
81,21,Male,Graduate,Georgia,3.0,LinkedIn,No,7.1,8,In Relationship,1,4,20-21,high,no_risk,0.9000000000000004,0,high,0.44500000000000006,8.4,0.9,pandemic_cohort,medium,0.46111111111111114
82,19,Female,Undergraduate,Azerbaijan,4.8,TikTok,Yes,5.7,6,Single,3,7,18-19,high,at_risk,2.3,1,moderate,0.6749999999999999,6.4,0.9,pandemic_cohort,medium,0.46111111111111114
83,20,Male,Undergraduate,Cyprus,3.8,Facebook,No,6.6,7,Complicated,2,6,20-21,high,at_risk,1.4000000000000004,1,moderate,0.62,7.4,0.9,pandemic_cohort,medium,0.46111111111111114
84,22,Female,Graduate,Malta,2.7,LinkedIn,No,7.2,8,In Relationship,1,4,22-24,moderate,no_risk,0.7999999999999998,0,high,0.44,9.4,0.7,pandemic_cohort,medium,0.46111111111111114
85,18,Male,High School,Luxembourg,5.6,Snapchat,Yes,5.3,5,Single,4,8,18-19,very_high,addicted,2.7,1,moderate,0.7050000000000001,5.4,1.0,pandemic_cohort,medium,0.46111111111111114
86,21,Female,Undergraduate,Monaco,4.5,Instagram,Yes,5.8,6,Complicated,3,7,20-21,high,at_risk,2.2,1,moderate,0.67,8.4,0.9,pandemic_cohort,medium,0.46111111111111114
87,19,Male,High School,Andorra,5.3,TikTok,Yes,5.5,5,In Relationship,4,8,18-19,very_high,addicted,2.5,1,moderate,0.6950000000000001,6.4,0.9,pandemic_cohort,medium,0.46111111111111114
88,23,Female,Graduate,San Marino,2.6,LinkedIn,No,7.3,8,Single,1,4,22-24,moderate,no_risk,0.7000000000000002,0,high,0.43500000000000005,10.4,0.7,pre_pandemic_cohort,medium,0.46111111111111114
89,20,Male,Undergraduate,Vatican City,4.4,YouTube,Yes,6.0,6,Complicated,3,7,20-21,high,at_risk,2.0,1,moderate,0.66,7.4,0.9,pandemic_cohort,medium,0.46111111111111114
90,18,Female,High School,Liechtenstein,5.8,Instagram,Yes,5.2,5,Single,4,9,18-19,very_high,addicted,2.8,1,moderate,0.75,5.4,1.0,pandemic_cohort,medium,0.46111111111111114
91,22,Male,Graduate,Montenegro,2.9,Facebook,No,7.0,7,In Relationship,2,5,22-24,moderate,no_risk,1.0,0,moderate,0.45999999999999996,9.4,0.7,pandemic_cohort,medium,0.46111111111111114
92,19,Female,Undergraduate,Albania,4.7,TikTok,Yes,5.8,6,Complicated,3,7,18-19,high,at_risk,2.2,1,moderate,0.67,6.4,0.9,pandemic_cohort,medium,0.46111111111111114
93,21,Male,Undergraduate,North Macedonia,3.7,Snapchat,No,6.5,7,Single,2,6,20-21,high,at_risk,1.5,1,moderate,0.625,8.4,0.9,pandemic_cohort,medium,0.46111111111111114
94,20,Female,High School,Kosovo,5.5,Instagram,Yes,5.4,5,In Relationship,4,8,20-21,very_high,addicted,2.5999999999999996,1,moderate,0.7000000000000001,7.4,0.9,pandemic_cohort,medium,0.46111111111111114
95,23,Male,Graduate,Bosnia,2.4,LinkedIn,No,7.4,8,Complicated,1,4,22-24,moderate,no_risk,0.5999999999999996,0,high,0.43,10.4,0.7,pre_pandemic_cohort,medium,0.46111111111111114
96,19,Female,Undergraduate,Qatar,4.9,TikTok,Yes,5.7,6,Single,3,7,18-19,high,at_risk,2.3,1,moderate,0.6749999999999999,6.4,0.9,pandemic_cohort,medium,0.46111111111111114
97,18,Male,High School,Kuwait,5.7,Snapchat,Yes,5.3,5,In Relationship,4,8,18-19,very_high,addicted,2.7,1,moderate,0.7050000000000001,5.4,1.0,pandemic_cohort,medium,0.46111111111111114
98,22,Female,Graduate,Bahrain,2.8,LinkedIn,No,7.1,8,Complicated,1,4,22-24,moderate,no_risk,0.9000000000000004,0,high,0.44500000000000006,9.4,0.7,pandemic_cohort,medium,0.46111111111111114
99,20,Male,Undergraduate,Oman,4.6,Instagram,Yes,5.9,6,Single,3,7,20-21,high,at_risk,2.0999999999999996,1,moderate,0.6649999999999999,7.4,0.9,pandemic_cohort,medium,0.46111111111111114
100,21,Female,Undergraduate,Jordan,5.4,TikTok,Yes,5.5,5,In Relationship,4,8,20-21,very_high,addicted,2.5,1,moderate,0.6950000000000001,8.4,0.9,pandemic_cohort,medium,0.46111111111111114
101,19,Male,High School,Lebanon,5.8,YouTube,Yes,5.2,5,Complicated,4,9,18-19,very_high,addicted,2.8,1,moderate,0.75,6.4,0.9,pandemic_cohort,medium,0.46111111111111114
102,23,Female,Graduate,Iraq,2.5,LinkedIn,No,7.3,8,Single,1,4,22-24,moderate,no_risk,0.7000000000000002,0,high,0.43500000000000005,10.4,0.7,pre_pandemic_cohort,medium,0.46111111111111114
103,20,Male,Undergraduate,Yemen,4.7,Facebook,Yes,5.8,6,In Relationship,3,7,20-21,high,at_risk,2.2,1,moderate,0.67,7.4,0.9,pandemic_cohort,medium,0.46111111111111114
104,18,Female,High School,Syria,5.6,Instagram,Yes,5.4,5,Single,4,8,18-19,very_high,addicted,2.5999999999999996,1,moderate,0.7000000000000001,5.4,1.0,pandemic_cohort,medium,0.46111111111111114
105,22,Male,Graduate,Afghanistan,2.9,LinkedIn,No,7.0,7,Complicated,2,5,22-24,moderate,no_risk,1.0,0,moderate,0.45999999999999996,9.4,0.7,pandemic_cohort,medium,0.46111111111111114
106,19,Female,Undergraduate,Pakistan,4.8,TikTok,Yes,5.7,6,In Relationship,3,7,18-19,high,at_risk,2.3,1,moderate,0.6749999999999999,6.4,0.9,pandemic_cohort,high,0.6666666666666666
107,21,Male,Undergraduate,Nepal,3.8,YouTube,No,6.6,7,Single,2,6,20-21,high,at_risk,1.4000000000000004,1,moderate,0.62,8.4,0.9,pandemic_cohort,medium,0.46111111111111114
108,20,Female,High School,Bhutan,5.5,Snapchat,Yes,5.5,5,Complicated,4,8,20-21,very_high,addicted,2.5,1,moderate,0.6950000000000001,7.4,0.9,pandemic_cohort,medium,0.46111111111111114
109,23,Male,Graduate,Sri Lanka,2.6,LinkedIn,No,7.2,8,In Relationship,1,4,22-24,moderate,no_risk,0.7999999999999998,0,high,0.44,10.4,0.7,pre_pandemic_cohort,medium,0.46111111111111114
110,19,Female,Undergraduate,Maldives,4.9,Instagram,Yes,5.8,6,Single,3,7,18-19,high,at_risk,2.2,1,moderate,0.67,6.4,0.9,pandemic_cohort,medium,0.46111111111111114
111,20,Male,Undergraduate,Bangladesh,6.1,Instagram,Yes,6.2,5,Single,4,8,20-21,very_high,addicted,1.7999999999999998,1,moderate,0.66,7.4,0.9,pandemic_cohort,high,0.6666666666666666
112,21,Female,Undergraduate,India,5.8,TikTok,Yes,5.9,6,In Relationship,3,7,20-21,very_high,at_risk,2.0999999999999996,1,moderate,0.6649999999999999,8.4,0.9,pandemic_cohort,high,0.6666666666666666
113,19,Male,Undergraduate,Nepal,4.9,Facebook,No,7.1,7,Single,2,5,18-19,high,no_risk,0.9000000000000004,1,moderate,0.555,6.4,0.9,pandemic_cohort,medium,0.46111111111111114
114,22,Female,Graduate,Pakistan,5.5,Instagram,Yes,6.0,5,Single,4,8,22-24,very_high,addicted,2.0,1,moderate,0.67,9.4,0.7,pandemic_cohort,high,0.6666666666666666
115,20,Male,Undergraduate,Sri Lanka,5.2,TikTok,Yes,6.3,6,In Relationship,3,7,20-21,very_high,at_risk,1.7000000000000002,1,moderate,0.6449999999999999,7.4,0.9,pandemic_cohort,medium,0.46111111111111114
116,19,Female,Undergraduate,Maldives,4.8,Instagram,No,7.2,8,Single,2,5,18-19,high,no_risk,0.7999999999999998,1,high,0.58,6.4,0.9,pandemic_cohort,medium,0.46111111111111114
117,21,Male,Graduate,Bangladesh,6.0,Facebook,Yes,5.8,5,In Relationship,4,8,20-21,very_high,addicted,2.2,1,moderate,0.68,8.4,0.9,pandemic_cohort,high,0.6666666666666666
118,20,Female,Undergraduate,India,5.7,Instagram,Yes,6.1,6,Single,3,7,20-21,very_high,at_risk,1.9000000000000004,1,moderate,0.6549999999999999,7.4,0.9,pandemic_cohort,high,0.6666666666666666
119,22,Male,Graduate,Nepal,4.7,TikTok,No,7.3,7,Single,2,5,22-24,high,no_risk,0.7000000000000002,1,moderate,0.545,9.4,0.7,pandemic_cohort,medium,0.46111111111111114
120,19,Female,Undergraduate,Pakistan,5.4,Instagram,Yes,6.2,5,In Relationship,4,8,18-19,very_high,addicted,1.7999999999999998,1,moderate,0.66,6.4,0.9,pandemic_cohort,high,0.6666666666666666
121,20,Male,Undergraduate,Sri Lanka,5.9,Facebook,Yes,5.9,6,Single,3,7,20-21,very_high,at_risk,2.0999999999999996,1,moderate,0.6649999999999999,7.4,0.9,pandemic_cohort,medium,0.46111111111111114
122,21,Female,Graduate,Maldives,4.6,Instagram,No,7.4,8,In Relationship,2,5,20-21,high,no_risk,0.5999999999999996,1,high,0.57,8.4,0.9,pandemic_cohort,medium,0.46111111111111114
123,19,Male,Undergraduate,Bangladesh,5.3,TikTok,Yes,6.3,5,Single,4,8,18-19,very_high,addicted,1.7000000000000002,1,moderate,0.655,6.4,0.9,pandemic_cohort,high,0.6666666666666666
124,22,Female,Graduate,India,5.8,Instagram,Yes,5.8,6,In Relationship,3,7,22-24,very_high,at_risk,2.2,1,moderate,0.67,9.4,0.7,pandemic_cohort,high,0.6666666666666666
125,20,Male,Undergraduate,Nepal,4.5,Facebook,No,7.5,7,Single,2,5,20-21,high,no_risk,0.5,1,moderate,0.535,7.4,0.9,pandemic_cohort,medium,0.46111111111111114
126,21,Female,Graduate,Pakistan,5.2,Instagram,Yes,6.4,5,In Relationship,4,8,20-21,very_high,addicted,1.5999999999999996,1,moderate,0.65,8.4,0.9,pandemic_cohort,high,0.6666666666666666
127,19,Male,Undergraduate,Sri Lanka,5.7,TikTok,Yes,5.7,6,Single,3,7,18-19,very_high,at_risk,2.3,1,moderate,0.6749999999999999,6.4,0.9,pandemic_cohort,medium,0.46111111111111114
128,20,Female,Undergraduate,Maldives,4.4,Instagram,No,7.6,8,In Relationship,2,5,20-21,high,no_risk,0.40000000000000036,1,high,0.56,7.4,0.9,pandemic_cohort,medium,0.46111111111111114
129,22,Male,Graduate,Bangladesh,5.1,Facebook,Yes,6.5,5,Single,4,8,22-24,very_high,addicted,1.5,1,moderate,0.645,9.4,0.7,pandemic_cohort,high,0.6666666666666666
